Reference Number,Topic Match Score,Title,Year,Date,Authors,Abstract,Journal,Citation Count,Citation Velocity,DOI,Link,External IDs,Is Open Access,Open Access Link,Semantic Scholar ID,Relevance Summary
"159","","Association of Program Directors in Vascular Surgery (APDVS) survey of program selection, knowledge acquisition, and education provided as viewed by vascular trainees from two different training paradigms.","2012","2012-02-01","M. Dalsing, M. Makaroun, L. Harris, J. Mills, J. Eidt, G. Eckert","","Journal of vascular surgery","18","1.3","10.1016/j.jvs.2011.09.011","https://doi.org/10.1016/j.jvs.2011.09.011","","true","{'url': 'http://www.jvascsurg.org/article/S0741521411020994/pdf', 'status': 'GOLD'}","82d9ecf954e339471d8e95ab089c2618615ee3d2",""
"160","","An Introduction to Centralized Training for Decentralized Execution in Cooperative Multi-Agent Reinforcement Learning","2024","2024-09-04","Christopher Amato","Multi-agent reinforcement learning (MARL) has exploded in popularity in recent years. Many approaches have been developed but they can be divided into three main types: centralized training and execution (CTE), centralized training for decentralized execution (CTDE), and Decentralized training and execution (DTE). CTDE methods are the most common as they can use centralized information during training but execute in a decentralized manner -- using only information available to that agent during execution. CTDE is the only paradigm that requires a separate training phase where any available information (e.g., other agent policies, underlying states) can be used. As a result, they can be more scalable than CTE methods, do not require communication during execution, and can often perform well. CTDE fits most naturally with the cooperative case, but can be potentially applied in competitive or mixed settings depending on what information is assumed to be observed. This text is an introduction to CTDE in cooperative MARL. It is meant to explain the setting, basic concepts, and common methods. It does not cover all work in CTDE MARL as the subarea is quite extensive. I have included work that I believe is important for understanding the main concepts in the subarea and apologize to those that I have omitted.","ArXiv","10","6.7","10.48550/arXiv.2409.03052","https://doi.org/10.48550/arXiv.2409.03052","","true","{'url': 'https://arxiv.org/pdf/2409.03052.pdf', 'status': 'GOLD'}","9ceb0bf99e756b20502cd9f80b418ea9e59d7bcc",""
"161","","Data Augmentation using Large Language Models: Data Perspectives, Learning Paradigms and Challenges","2024","2024-03-05","Bosheng Ding, Chengwei Qin, Ruochen Zhao, Tianze Luo, Xinze Li, Guizhen Chen, Wenhan Xia, Junjie Hu, A. Luu, Shafiq R. Joty","In the rapidly evolving field of large language models (LLMs), data augmentation (DA) has emerged as a pivotal technique for enhancing model performance by diversifying training examples without the need for additional data collection. This survey explores the transformative impact of LLMs on DA, particularly addressing the unique challenges and opportunities they present in the context of natural language processing (NLP) and beyond. From both data and learning perspectives, we examine various strategies that utilize LLMs for data augmentation, including a novel exploration of learning paradigms where LLM-generated data is used for diverse forms of further training. Additionally, this paper highlights the primary open challenges faced in this domain, ranging from controllable data augmentation to multi-modal data augmentation. This survey highlights a paradigm shift introduced by LLMs in DA, and aims to serve as a comprehensive guide for researchers and practitioners.","ArXiv","20","10","","https://arxiv.org/abs/2403.02990","","true","{'url': 'https://arxiv.org/pdf/2403.02990.pdf', 'status': 'GOLD'}","660ec26b660315ba42e91b6e722836abbafb98b5",""
"162","","Aligning Cyber Space with Physical World: A Comprehensive Survey on Embodied AI","2024","2024-07-09","Yang Liu, Weixing Chen, Yongjie Bai, Jing-Hua Luo, Xinshuai Song, Kaixuan Jiang, Zhida Li, Ganlong Zhao, Junyi Lin, Guanbin Li, Wen Gao, Liang Lin","Embodied Artificial Intelligence (Embodied AI) is crucial for achieving Artificial General Intelligence (AGI) and serves as a foundation for various applications that bridge cyberspace and the physical world. Recently, the emergence of Multi-modal Large Models (MLMs) and World Models (WMs) have attracted significant attention due to their remarkable perception, interaction, and reasoning capabilities, making them a promising architecture for the brain of embodied agents. However, there is no comprehensive survey for Embodied AI in the era of MLMs. In this survey, we give a comprehensive exploration of the latest advancements in Embodied AI. Our analysis firstly navigates through the forefront of representative works of embodied robots and simulators, to fully understand the research focuses and their limitations. Then, we analyze four main research targets: 1) embodied perception, 2) embodied interaction, 3) embodied agent, and 4) sim-to-real adaptation, covering the state-of-the-art methods, essential paradigms, and comprehensive datasets. Additionally, we explore the complexities of MLMs in virtual and real embodied agents, highlighting their significance in facilitating interactions in dynamic digital and physical environments. Finally, we summarize the challenges and limitations of embodied AI and discuss their potential future directions. We hope this survey will serve as a foundational reference for the research community and inspire continued innovation. The associated project can be found at https://github.com/HCPLab-SYSU/Embodied_AI_Paper_List.","ArXiv","62","37.6","10.48550/arXiv.2407.06886","https://doi.org/10.48550/arXiv.2407.06886","","true","{'url': 'https://arxiv.org/pdf/2407.06886.pdf', 'status': 'GOLD'}","7080139d78e718b0efe91cf1bbfe17f288100596",""
"163","","Counterfactual Critic Multi-Agent Training for Scene Graph Generation","2018","2018-12-06","Long Chen, Hanwang Zhang, Jun Xiao, Xiangnan He, Shiliang Pu, Shih-Fu Chang","Scene graphs --- objects as nodes and visual relationships as edges --- describe the whereabouts and interactions of objects in an image for comprehensive scene understanding. To generate coherent scene graphs, almost all existing methods exploit the fruitful visual context by modeling message passing among objects. For example, ``person'' on ``bike'' can help to determine the relationship ``ride'', which in turn contributes to the confidence of the two objects. However, we argue that the visual context is not properly learned by using the prevailing cross-entropy based supervised learning paradigm, which is not sensitive to graph inconsistency: errors at the hub or non-hub nodes should not be penalized equally. To this end, we propose a Counterfactual critic Multi-Agent Training (CMAT) approach. CMAT is a multi-agent policy gradient method that frames objects into cooperative agents, and then directly maximizes a graph-level metric as the reward. In particular, to assign the reward properly to each agent, CMAT uses a counterfactual baseline that disentangles the agent-specific reward by fixing the predictions of other agents. Extensive validations on the challenging Visual Genome benchmark show that CMAT achieves a state-of-the-art performance by significant gains under various settings and metrics.","2019 IEEE/CVF International Conference on Computer Vision (ICCV)","159","22","10.1109/ICCV.2019.00471","https://doi.org/10.1109/ICCV.2019.00471","","true","{'url': 'https://arxiv.org/pdf/1812.02347', 'status': 'GOLD'}","f37d93ac4dc22b00d8a0cd1b5d54764eb8a2c5d5",""
"164","","Assessing Extension Agent Training Needs, Barriers and Training Methods in Jordan","2017","2017-09-01","A. S. Al-Rimawi, M. Allahyari, J. Al-rusheidat","","Journal of Agricultural Science and Technology","6","0.7","","https://www.semanticscholar.org/paper/fce0050a1081db45d63a294a9d3838fdeb0f26c7","","false","","fce0050a1081db45d63a294a9d3838fdeb0f26c7",""
"165","","A New Pre-Training Paradigm for Offline Multi-Agent Reinforcement Learning with Suboptimal Data","2024","2024-04-14","Linghui Meng, Xi Zhang, Dengpeng Xing, Bo Xu","Offline multi-agent reinforcement learning (MARL) with pre-training paradigm, which uses a large quantity of trajectories for offline pre-training and online deployment, has become fashionable lately. While performing well on various tasks, conventional pre-trained decision-making models based on imitation learning typically require many expert trajectories or demonstrations, which limits the development of pre-trained policies in multi-agent case. To address this problem, we propose a new setting, where a multi-agent policy is pre-trained offline using suboptimal (non-expert) data and then tested online with the expectation of high rewards. In this practical setting inspired by contrastive learning , we propose YANHUI, a simple yet effective framework utilizing a well-designed reward contrast function for multi-agent policy representation learning from a dataset including various reward-level data instead of just expert trajectories. Furthermore, we enrich the multi-agent policy pre-training with mixture-of-experts to dynamically represent it. With the same quantity of offline StarCraft Multi-Agent Challenge datasets, YANHUI achieves significant improvements over offline MARL baselines. In particular, our method surprisingly competes in performance with earlier state-of-the-art approaches, even with 10% of the expert data used by other baselines and the rest replaced by poor data.","ICASSP 2024 - 2024 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","2","1.1","10.1109/ICASSP48485.2024.10448500","https://doi.org/10.1109/ICASSP48485.2024.10448500","","false","","6b566a2d3d2b7eb058677ab003f8751fc8df454e",""
"166","","Explainability for Large Language Models: A Survey","2023","2023-09-02","Haiyan Zhao, Hanjie Chen, F. Yang, Ninghao Liu, Huiqi Deng, Hengyi Cai, Shuaiqiang Wang, Dawei Yin, Mengnan Du","Large language models (LLMs) have demonstrated impressive capabilities in natural language processing. However, their internal mechanisms are still unclear and this lack of transparency poses unwanted risks for downstream applications. Therefore, understanding and explaining these models is crucial for elucidating their behaviors, limitations, and social impacts. In this article, we introduce a taxonomy of explainability techniques and provide a structured overview of methods for explaining Transformer-based language models. We categorize techniques based on the training paradigms of LLMs: traditional fine-tuning-based paradigm and prompting-based paradigm. For each paradigm, we summarize the goals and dominant approaches for generating local explanations of individual predictions and global explanations of overall model knowledge. We also discuss metrics for evaluating generated explanations and discuss how explanations can be leveraged to debug models and improve performance. Lastly, we examine key challenges and emerging opportunities for explanation techniques in the era of LLMs in comparison to conventional deep learning models.","ACM Transactions on Intelligent Systems and Technology","453","181.2","10.1145/3639372","https://doi.org/10.1145/3639372","","true","{'url': 'https://dl.acm.org/doi/pdf/10.1145/3639372', 'status': 'GOLD'}","26089bdfdbca1e6eaaceca71e3116b715bec6d47",""
"167","","Human-in-the-Loop Reinforcement Learning: A Survey and Position on Requirements, Challenges, and Opportunities","2024","2024-01-30","Charles Retzlaff, Srijita Das, Christabel Wayllace, Payam Mousavi, Mohammad Afshari, Tianpei Yang, Anna Saranti, Alessa Angerschmid, Matthew E. Taylor, Andreas Holzinger","Artificial intelligence (AI) and especially reinforcement learning (RL) have the potential to enable agents to learn and perform tasks autonomously with superhuman performance. However, we consider RL as fundamentally a Human-in-the-Loop (HITL) paradigm, even when an agent eventually performs its task autonomously. 
In cases where the reward function is challenging or impossible to define, HITL approaches are considered particularly advantageous.
The application of Reinforcement Learning from Human Feedback (RLHF) in systems such as ChatGPT demonstrates the effectiveness of optimizing for user experience and integrating their feedback into the training loop. In HITL RL, human input is integrated during the agent’s learning process, allowing iterative updates and fine-tuning based on human feedback, thus enhancing the agent’s performance. Since the human is an essential part of this process, we argue that human-centric approaches are the key to successful RL, a fact that has not been adequately considered in the existing literature. This paper aims to inform readers about current explainability methods in HITL RL. It also shows how the application of explainable AI (xAI) and specific improvements to existing explainability approaches can enable a better human-agent interaction in HITL RL for all types of users, whether for lay people, domain experts, or machine learning specialists.
Accounting for the workflow in HITL RL and based on software and machine learning methodologies, this article identifies four phases for human involvement for creating HITL RL systems: (1) Agent Development, (2) Agent Learning, (3) Agent Evaluation, and (4) Agent Deployment. We highlight human involvement, explanation requirements, new challenges, and goals for each phase.
We furthermore identify low-risk, high-return opportunities for explainability research in HITL RL and present long-term research goals to advance the field. Finally, we propose a vision of human-robot collaboration that allows both parties to reach their full potential and cooperate effectively.","J. Artif. Intell. Res.","59","28.2","10.1613/jair.1.15348","https://doi.org/10.1613/jair.1.15348","","true","{'url': 'https://jair.org/index.php/jair/article/download/15348/27006', 'status': 'GOLD'}","d4e0d8645fe6972c1974f01300f7a0ffa8d85fff",""
"168","","Know Your Self-supervised Learning: A Survey on Image-based Generative and Discriminative Training","2023","2023-05-23","Utku Ozbulak, Hyun Jung Lee, Beril Boga, Esla Timothy Anzaku, Ho-min Park, Arnout Van Messem, W. D. Neve, J. Vankerschaver","Although supervised learning has been highly successful in improving the state-of-the-art in the domain of image-based computer vision in the past, the margin of improvement has diminished significantly in recent years, indicating that a plateau is in sight. Meanwhile, the use of self-supervised learning (SSL) for the purpose of natural language processing (NLP) has seen tremendous successes during the past couple of years, with this new learning paradigm yielding powerful language models. Inspired by the excellent results obtained in the field of NLP, self-supervised methods that rely on clustering, contrastive learning, distillation, and information-maximization, which all fall under the banner of discriminative SSL, have experienced a swift uptake in the area of computer vision. Shortly afterwards, generative SSL frameworks that are mostly based on masked image modeling, complemented and surpassed the results obtained with discriminative SSL. Consequently, within a span of three years, over $100$ unique general-purpose frameworks for generative and discriminative SSL, with a focus on imaging, were proposed. In this survey, we review a plethora of research efforts conducted on image-oriented SSL, providing a historic view and paying attention to best practices as well as useful software packages. While doing so, we discuss pretext tasks for image-based SSL, as well as techniques that are commonly used in image-based SSL. Lastly, to aid researchers who aim at contributing to image-focused SSL, we outline a number of promising research directions.","ArXiv","37","13.3","10.48550/arXiv.2305.13689","https://doi.org/10.48550/arXiv.2305.13689","","true","{'url': 'http://arxiv.org/pdf/2305.13689', 'status': 'GOLD'}","6209b614db0065de89331196a1ae8aa59404f0db",""
"169","","Training of Scaffolded Language Models with Language Supervision: A Survey","2024","2024-10-21","Matthieu Lin, Jenny Sheng, Andrew Zhao, Shenzhi Wang, Yang Yue, Yiran Wu, Huan Liu, Jun Liu, Gao Huang, Yong-Jin Liu","This survey organizes the intricate literature on the design and optimization of emerging structures around post-trained LMs. We refer to this overarching structure as scaffolded LMs and focus on LMs that are integrated into multi-step processes with tools. We view scaffolded LMs as semi-parametric models wherein we train non-parametric variables, including the prompt, tools, and scaffold's code. In particular, they interpret instructions, use tools, and receive feedback all in language. Recent works use an LM as an optimizer to interpret language supervision and update non-parametric variables according to intricate objectives. In this survey, we refer to this paradigm as training of scaffolded LMs with language supervision. A key feature of non-parametric training is the ability to learn from language. Parametric training excels in learning from demonstration (supervised learning), exploration (reinforcement learning), or observations (unsupervised learning), using well-defined loss functions. Language-based optimization enables rich, interpretable, and expressive objectives, while mitigating issues like catastrophic forgetting and supporting compatibility with closed-source models. Furthermore, agents are increasingly deployed as co-workers in real-world applications such as Copilot in Office tools or software development. In these mixed-autonomy settings, where control and decision-making are shared between human and AI, users point out errors or suggest corrections. Accordingly, we discuss agents that continuously improve by learning from this real-time, language-based feedback and refer to this setting as streaming learning from language supervision.","ArXiv","1","0.7","","https://arxiv.org/abs/2410.16392","","true","{'url': 'https://arxiv.org/pdf/2410.16392.pdf', 'status': 'GOLD'}","392d358e4d3a4d9509f7f609ee8e4b358a2a4207",""
"170","","Vision-Language Models for Vision Tasks: A Survey","2023","2023-04-03","Jingyi Zhang, Jiaxing Huang, Sheng Jin, Shijian Lu","Most visual recognition studies rely heavily on crowd-labelled data in deep neural networks (DNNs) training, and they usually train a DNN for each single visual recognition task, leading to a laborious and time-consuming visual recognition paradigm. To address the two challenges, Vision-Language Models (VLMs) have been intensively investigated recently, which learns rich vision-language correlation from web-scale image-text pairs that are almost infinitely available on the Internet and enables zero-shot predictions on various visual recognition tasks with a single VLM. This paper provides a systematic review of visual language models for various visual recognition tasks, including: (1) the background that introduces the development of visual recognition paradigms; (2) the foundations of VLM that summarize the widely-adopted network architectures, pre-training objectives, and downstream tasks; (3) the widely-adopted datasets in VLM pre-training and evaluations; (4) the review and categorization of existing VLM pre-training methods, VLM transfer learning methods, and VLM knowledge distillation methods; (5) the benchmarking, analysis and discussion of the reviewed methods; (6) several research challenges and potential research directions that could be pursued in the future VLM studies for visual recognition.","IEEE Transactions on Pattern Analysis and Machine Intelligence","535","183.5","10.1109/TPAMI.2024.3369699","https://doi.org/10.1109/TPAMI.2024.3369699","","true","{'url': 'http://arxiv.org/pdf/2304.00685', 'status': 'GOLD'}","690df0820f35a47e1ce44f90e6ddb4132aa09267",""
"171","","Pre-training in Medical Data: A Survey","2023","2023-02-21","Yixuan Qiu, Feng Lin, Weitong Chen, Miao Xu","Medical data refers to health-related information associated with regular patient care or as part of a clinical trial program. There are many categories of such data, such as clinical imaging data, bio-signal data, electronic health records (EHR), and multi-modality medical data. With the development of deep neural networks in the last decade, the emerging pre-training paradigm has become dominant in that it has significantly improved machine learning methods′ performance in a data-limited scenario. In recent years, studies of pre-training in the medical domain have achieved significant progress. To summarize these technology advancements, this work provides a comprehensive survey of recent advances for pre-training on several major types of medical data. In this survey, we summarize a large number of related publications and the existing benchmarking in the medical domain. Especially, the survey briefly describes how some pre-training methods are applied to or developed for medical data. From a data-driven perspective, we examine the extensive use of pre-training in many medical scenarios. Moreover, based on the summary of recent pre-training studies, we identify several challenges in this field to provide insights for future studies.","Machine Intelligence Research","20","6.6","10.1007/s11633-022-1382-8","https://doi.org/10.1007/s11633-022-1382-8","","true","{'url': 'https://link.springer.com/content/pdf/10.1007/s11633-022-1382-8.pdf', 'status': 'GOLD'}","08846a61b7fb330641d5cc8d75b127291de3967d",""
"172","","A Survey on Deep Active Learning: Recent Advances and New Frontiers","2024","2024-05-01","Dongyuan Li, Zhen Wang, Yankai Chen, Renhe Jiang, Weiping Ding, Manabu Okumura","Active learning seeks to achieve strong performance with fewer training samples. It does this by iteratively asking an oracle to label newly selected samples in a human-in-the-loop manner. This technique has gained increasing popularity due to its broad applicability, yet its survey papers, especially for deep active learning (DAL), remain scarce. Therefore, we conduct an advanced and comprehensive survey on DAL. We first introduce reviewed paper collection and filtering. Second, we formally define the DAL task and summarize the most influential baselines and widely used datasets. Third, we systematically provide a taxonomy of DAL methods from five perspectives, including annotation types, query strategies, deep model architectures, learning paradigms, and training processes, and objectively analyze their strengths and weaknesses. Then, we comprehensively summarize the main applications of DAL in natural language processing (NLP), computer vision (CV), data mining (DM), and so on. Finally, we discuss challenges and perspectives after a detailed analysis of current studies. This work aims to serve as a useful and quick guide for researchers in overcoming difficulties in DAL. We hope that this survey will spur further progress in this burgeoning field.","IEEE Transactions on Neural Networks and Learning Systems","25","13.6","10.1109/TNNLS.2024.3396463","https://doi.org/10.1109/TNNLS.2024.3396463","","true","{'url': 'https://ieeexplore.ieee.org/ielx7/5962385/6104215/10537213.pdf', 'status': 'GOLD'}","a2c46a9b173329796463a3408fd6b27992d463bb",""
"173","","AI, Meet Human: Learning Paradigms for Hybrid Decision Making Systems","2024","2024-02-09","Clara Punzi, Roberto Pellungrini, Mattia Setzu, F. Giannotti, D. Pedreschi","Everyday we increasingly rely on machine learning models to automate and support high-stake tasks and decisions. This growing presence means that humans are now constantly interacting with machine learning-based systems, training and using models everyday. Several different techniques in computer science literature account for the human interaction with machine learning systems, but their classification is sparse and the goals varied. This survey proposes a taxonomy of Hybrid Decision Making Systems, providing both a conceptual and technical framework for understanding how current computer science literature models interaction between humans and machines.","ArXiv","6","2.9","10.48550/arXiv.2402.06287","https://doi.org/10.48550/arXiv.2402.06287","","true","{'url': 'https://arxiv.org/pdf/2402.06287.pdf', 'status': 'GOLD'}","343565145bd1d5cad907dec579491b719f1004a3",""
"174","","Agent-R: Training Language Model Agents to Reflect via Iterative Self-Training","2025","2025-01-20","Siyu Yuan, Zehui Chen, Zhiheng Xi, Junjie Ye, Zhengyin Du, Jiecao Chen","Large Language Models (LLMs) agents are increasingly pivotal for addressing complex tasks in interactive environments. Existing work mainly focuses on enhancing performance through behavior cloning from stronger experts, yet such approaches often falter in real-world applications, mainly due to the inability to recover from errors. However, step-level critique data is difficult and expensive to collect. Automating and dynamically constructing self-critique datasets is thus crucial to empowering models with intelligent agent capabilities. In this work, we propose an iterative self-training framework, Agent-R, that enables language Agent to Reflect on the fly. Unlike traditional methods that reward or penalize actions based on correctness, Agent-R leverages MCTS to construct training data that recover correct trajectories from erroneous ones. A key challenge of agent reflection lies in the necessity for timely revision rather than waiting until the end of a rollout. To address this, we introduce a model-guided critique construction mechanism: the actor model identifies the first error step (within its current capability) in a failed trajectory. Starting from it, we splice it with the adjacent correct path, which shares the same parent node in the tree. This strategy enables the model to learn reflection based on its current policy, therefore yielding better learning efficiency. To further explore the scalability of this self-improvement paradigm, we investigate iterative refinement of both error correction capabilities and dataset construction. Our findings demonstrate that Agent-R continuously improves the model's ability to recover from errors and enables timely error correction. Experiments on three interactive environments show that Agent-R effectively equips agents to correct erroneous actions while avoiding loops, achieving superior performance compared to baseline methods (+5.59%).","ArXiv","14","12.6","10.48550/arXiv.2501.11425","https://doi.org/10.48550/arXiv.2501.11425","","true","{'url': 'https://arxiv.org/pdf/2501.11425.pdf', 'status': 'GOLD'}","8fa5cbc7344d8c2b73f223884ce2a4213b3822d7",""
"175","","MAPoRL: Multi-Agent Post-Co-Training for Collaborative Large Language Models with Reinforcement Learning","2025","2025-02-25","Chanwoo Park, Seungju Han, Xingzhi Guo, A. Ozdaglar, Kaiqing Zhang, Joo-Kyung Kim","Leveraging multiple large language models (LLMs) to build collaborative multi-agentic workflows has demonstrated significant potential. However, most previous studies focus on prompting the out-of-the-box LLMs, relying on their innate capability for collaboration, which may not improve LLMs' performance as shown recently. In this paper, we introduce a new post-training paradigm MAPoRL (Multi-Agent Post-co-training for collaborative LLMs with Reinforcement Learning), to explicitly elicit the collaborative behaviors and further unleash the power of multi-agentic LLM frameworks. In MAPoRL, multiple LLMs first generate their own responses independently and engage in a multi-turn discussion to collaboratively improve the final answer. In the end, a MAPoRL verifier evaluates both the answer and the discussion, by assigning a score that verifies the correctness of the answer, while adding incentives to encourage corrective and persuasive discussions. The score serves as the co-training reward, and is then maximized through multi-agent RL. Unlike existing LLM post-training paradigms, MAPoRL advocates the co-training of multiple LLMs together using RL for better generalization. Accompanied by analytical insights, our experiments demonstrate that training individual LLMs alone is insufficient to induce effective collaboration. In contrast, multi-agent co-training can boost the collaboration performance across benchmarks, with generalization to unseen domains.","ArXiv","6","5.9","10.48550/arXiv.2502.18439","https://doi.org/10.48550/arXiv.2502.18439","","true","{'url': 'https://arxiv.org/pdf/2502.18439.pdf', 'status': 'GOLD'}","aa89c6bf86486e180833037333555e3492b15c8e",""
"176","","Multi-agent Reinforcement Learning: A Comprehensive Survey","2023","2023-12-15","Dom Huh, Prasant Mohapatra","Multi-agent systems (MAS) are widely prevalent and crucially important in numerous real-world applications, where multiple agents must make decisions to achieve their objectives in a shared environment. Despite their ubiquity, the development of intelligent decision-making agents in MAS poses several open challenges to their effective implementation. This survey examines these challenges, placing an emphasis on studying seminal concepts from game theory (GT) and machine learning (ML) and connecting them to recent advancements in multi-agent reinforcement learning (MARL), i.e. the research of data-driven decision-making within MAS. Therefore, the objective of this survey is to provide a comprehensive perspective along the various dimensions of MARL, shedding light on the unique opportunities that are presented in MARL applications while highlighting the inherent challenges that accompany this potential. Therefore, we hope that our work will not only contribute to the field by analyzing the current landscape of MARL but also motivate future directions with insights for deeper integration of concepts from related domains of GT and ML. With this in mind, this work delves into a detailed exploration of recent and past efforts of MARL and its related fields and describes prior solutions that were proposed and their limitations, as well as their applications.","ArXiv","10","4.5","10.48550/arXiv.2312.10256","https://doi.org/10.48550/arXiv.2312.10256","","true","{'url': 'https://arxiv.org/pdf/2312.10256.pdf', 'status': 'GOLD'}","4768692b14a86edc398199a089e2e35ab271e2ca",""
"177","","Learning to cooperate against ensembles of diverse opponents","2025","2025-01-07","Isuri Perera, Frits de Nijs, Julian García","","Neural Computing and Applications","0","0","10.1007/s00521-024-10511-9","https://doi.org/10.1007/s00521-024-10511-9","","false","","b065856cfca444ec89aae7a9e2a32a9ee620fad9",""
"178","","Multi-agent cooperation through learning-aware policy gradients","2024","2024-10-24","Alexander Meulemans, Seijin Kobayashi, J. Oswald, Nino Scherrer, Eric Elmoznino, Blake A. Richards, Guillaume Lajoie, B. A. Y. Arcas, João Sacramento","Self-interested individuals often fail to cooperate, posing a fundamental challenge for multi-agent learning. How can we achieve cooperation among self-interested, independent learning agents? Promising recent work has shown that in certain tasks cooperation can be established between learning-aware agents who model the learning dynamics of each other. Here, we present the first unbiased, higher-derivative-free policy gradient algorithm for learning-aware reinforcement learning, which takes into account that other agents are themselves learning through trial and error based on multiple noisy trials. We then leverage efficient sequence models to condition behavior on long observation histories that contain traces of the learning dynamics of other agents. Training long-context policies with our algorithm leads to cooperative behavior and high returns on standard social dilemmas, including a challenging environment where temporally-extended action coordination is required. Finally, we derive from the iterated prisoner's dilemma a novel explanation for how and when cooperation arises among self-interested learning-aware agents.","ArXiv","1","0.7","10.48550/arXiv.2410.18636","https://doi.org/10.48550/arXiv.2410.18636","","true","{'url': 'https://arxiv.org/pdf/2410.18636.pdf', 'status': 'GOLD'}","03286274afdbb48ee0d0af2093448684a9c7866a",""
"179","","XP-MARL: Auxiliary Prioritization in Multi-Agent Reinforcement Learning to Address Non-Stationarity","2024","2024-09-18","Jianye Xu, Omar Sobhy, Bassam Alrifaee","Non-stationarity poses a fundamental challenge in Multi-Agent Reinforcement Learning (MARL), arising from agents simultaneously learning and altering their policies. This creates a non-stationary environment from the perspective of each individual agent, often leading to suboptimal or even unconverged learning outcomes. We propose an open-source framework named XP-MARL, which augments MARL with auxiliary prioritization to address this challenge in cooperative settings. XP-MARL is 1) founded upon our hypothesis that prioritizing agents and letting higher-priority agents establish their actions first would stabilize the learning process and thus mitigate non-stationarity and 2) enabled by our proposed mechanism called action propagation, where higher-priority agents act first and communicate their actions, providing a more stationary environment for others. Moreover, instead of using a predefined or heuristic priority assignment, XP-MARL learns priority-assignment policies with an auxiliary MARL problem, leading to a joint learning scheme. Experiments in a motion-planning scenario involving Connected and Automated Vehicles (CAVs) demonstrate that XP-MARL improves the safety of a baseline model by 84.4% and outperforms a state-of-the-art approach, which improves the baseline by only 12.8%. Code: github.com/cas-lab-munich/sigmarl","ArXiv","2","1.4","10.48550/arXiv.2409.11852","https://doi.org/10.48550/arXiv.2409.11852","","true","{'url': 'https://arxiv.org/pdf/2409.11852.pdf', 'status': 'GOLD'}","2925e89470753d110d0f6acdf7c9f6ad3d5254b7",""
"180","","Architectural Influence on Variational Quantum Circuits in Multi-Agent Reinforcement Learning: Evolutionary Strategies for Optimization","2024","2024-07-30","Michael Kolle, Karola Schneider, Sabrina Egger, Felix Topp, Thomy Phan, Philipp Altmann, Jonas Nusslein, Claudia Linnhoff-Popien","In recent years, Multi-Agent Reinforcement Learning (MARL) has found application in numerous areas of science and industry, such as autonomous driving, telecommunications, and global health. Nevertheless, MARL suffers from, for instance, an exponential growth of dimensions. Inherent properties of quantum mechanics help to overcome these limitations, e.g., by significantly reducing the number of trainable parameters. Previous studies have developed an approach that uses gradient-free quantum Reinforcement Learning and evolutionary optimization for variational quantum circuits (VQCs) to reduce the trainable parameters and avoid barren plateaus as well as vanishing gradients. This leads to a significantly better performance of VQCs compared to classical neural networks with a similar number of trainable parameters and a reduction in the number of parameters by more than 97 \% compared to similarly good neural networks. We extend an approach of K\""olle et al. by proposing a Gate-Based, a Layer-Based, and a Prototype-Based concept to mutate and recombine VQCs. Our results show the best performance for mutation-only strategies and the Gate-Based approach. In particular, we observe a significantly better score, higher total and own collected coins, as well as a superior own coin rate for the best agent when evaluated in the Coin Game environment.","","0","0","10.48550/arXiv.2407.20739","https://doi.org/10.48550/arXiv.2407.20739","","true","{'url': 'https://arxiv.org/pdf/2407.20739.pdf', 'status': 'GOLD'}","de1dba5dccd9106389325f4140fa031ef3a007f0",""
"181","","Learning to Steer Markovian Agents under Model Uncertainty","2024","2024-07-14","Jiawei Huang, Vinzenz Thoma, Zebang Shen, H. Nax, Niao He","Designing incentives for an adapting population is a ubiquitous problem in a wide array of economic applications and beyond. In this work, we study how to design additional rewards to steer multi-agent systems towards desired policies \emph{without} prior knowledge of the agents' underlying learning dynamics. Motivated by the limitation of existing works, we consider a new and general category of learning dynamics called \emph{Markovian agents}. We introduce a model-based non-episodic Reinforcement Learning (RL) formulation for our steering problem. Importantly, we focus on learning a \emph{history-dependent} steering strategy to handle the inherent model uncertainty about the agents' learning dynamics. We introduce a novel objective function to encode the desiderata of achieving a good steering outcome with reasonable cost. Theoretically, we identify conditions for the existence of steering strategies to guide agents to the desired policies. Complementing our theoretical contributions, we provide empirical algorithms to approximately solve our objective, which effectively tackles the challenge in learning history-dependent strategies. We demonstrate the efficacy of our algorithms through empirical evaluations.","ArXiv","2","1.2","10.48550/arXiv.2407.10207","https://doi.org/10.48550/arXiv.2407.10207","","true","{'url': 'https://arxiv.org/pdf/2407.10207.pdf', 'status': 'GOLD'}","1414078b42d788ee356024a839d177c524bea814",""
